Sentences,path
Атырау » ықшамауданындағы тұрғындарға берілген жер телімдеріне .,audio2/1.wav
"Еуразия елдері экономикаларын жандандыруға , тың серпін беріп , олардың бәсекеге қабілеттігін , бизнес-климатын және инвестициялық тартымдылығын жақсартуға бағытталған .",audio2/2.wav
"Жаңағы Жетібайды айтып отырмыз , мұнайдан шыққан ( і ) жаңағы ( эээ ) газдар әсері денсаулыққа міндетті түрде бар .",audio2/3.wav
Бірқатар жобаларымыз Орталық және Шығыс Азияда сұранысқа ие .,audio2/4.wav
Демалушыларды көбінесе Баянауыл жерінің ғажайыпқа толы тау-тастары мен әсем су-көлдері тартады .,audio2/5.wav
Ұлытаудың ұланы .,audio2/6.wav
Бұл ( іі ) өткелдің алдында жылдамдық режимі жиырма километр сағатына болады .,audio2/7.wav
"Сиыр етінің қоры бір де жеті тоннаға дейін азайып , ұн таусылған .",audio2/8.wav
Қазір акиматтан үш жарым гектар жер бөлініп ( іі ) мына спиральді завод салып жатырмыз .,audio2/9.wav
Бұл жерде судың деңгейі он бес метрге көтерілген .,audio2/10.wav
"« Ауыл — ел бесігі » , — онда да көп нәрсе жасап жатырмыз .",audio2/11.wav
"« Мемлекеттік және жекеменшік әріптестік » сынды стратегиялық бағдарламалар қабылданып , іске асып келеді .",audio2/12.wav
Сондай-ақ өңірде « Бақытты отбасы » бағдарламасы қалай жүзеге асырылып жатыр ?,audio2/13.wav
"« Евразийский Союз : идеи , практика , перспективы » деп аталады .",audio2/14.wav
Атаулы әлеуметтік көмек енді қалай төленеді ?,audio2/15.wav
Жалпы аталған қабылдау қазір « Халыққа көмек » атты жаңа форматта жұмыс жасауда .,audio2/16.wav
Жиырма бүтін оннан жеті пайызы түрлі ақаулардың салдарынан .,audio2/17.wav
Нәтижесінде өндірістің қарқыны жылына жиырма бес процентке өседі .,audio2/18.wav
Ол осы орталықта туған балалардың он төрт пайызы .,audio2/19.wav
Ал тұрақты жұмысы бар тұрғындар табысының бір процентін қорға аударып отыруы тиіс .,audio2/20.wav
Қазіргі таңда тоқсан пайыз сайлаушылар өз даусын беріп кетті .,audio2/21.wav
Холдингінің аффинаж зауытының өндіріс көлемін тағы алпыс процентке арттырып .,audio2/22.wav
"Қазақстан банк секторындағы несиелеу портфелі — он , депозиттік портфелі сегіз жарым пайызды құрады .",audio2/23.wav
Алты процентпен несие алдым .,audio2/24.wav
Қаладағы жер телімдерінің тоқсан пайызы жекеменшікте .,audio2/25.wav
Даже он проценті де болмайды .,audio2/26.wav
Өйткені жаттықтырушы мен дене тәрбиесі пәні мұғалімінің жалақыларының айырмашылығы елу процент .,audio2/27.wav
"Егер де субсидияны көбейтіп және уақытында төлеп нетпесе , ертең біз пәленбай мың процент .",audio2/28.wav
"Бұлай жалғаса берсе , сексен процент құрылысы аяқталып тұрған балабақшаның аз уақытта аянышты халге түсері анық .",audio2/29.wav
"Ал , ол бойынша , өндірістік кәсіпорындардың алпыс проценті несие ала алмай отырған көрінеді .",audio2/30.wav
"Өйткені бұрынғыдай емес , шақырылған жерге жету уақыты қырық процентке қысқарған екен .",audio2/31.wav
Сонымен отыз бүтін оннан төрт процент .,audio2/32.wav
"Биылғы есеп бойынша , республикалық бюджеттің қырық бес проценті осы салаға тиесілі .",audio2/33.wav
Оның жиырма екі проценті ғана жергілікті өндірушілерге тиесілі .,audio2/34.wav
Төрт бүтін оннан сегіз процент деңгейінде қалды .,audio2/35.wav
Мақсаты өзгерістер енгізілгеннің ол — бірінші басшылар өзінің қоластындағы бағынышты қызметкерлеріне жауап береді .,audio2/36.wav
Екінші сыныптың оқушысын мұғалімдер осы жерде ес-түзсіз жатқан жерінен тауып алыпты .,audio2/37.wav
Ең бірінші жұмыс орындарын сақтап қалу керектігін айтты .,audio2/38.wav
Сегізінші және одан кейінгі балаға ( с ) саралау жоспарланып отыр .,audio2/39.wav
"Біріншіден , бұл айналаны ластау .",audio2/40.wav
Осымен төртінші рет ұйымдастырылып отырған жарыстың бас жүлдесі Ресей асты .,audio2/41.wav
Алтын қорынан алтыншы орында тұрған еліміздің кеңдігінен көрген кемдігі ме екен ?,audio2/42.wav
Нанның сапасы оған қосылатын ең бірінші шикізат ұнға байланысты болып келеді .,audio2/43.wav
Ал екінші қабатта ателье қызмет көрсетеді .,audio2/44.wav
"Ең бірінші , еңбекақыны уақытылы беру керек .",audio2/45.wav
"Ал біріншісі өте арық болған соң иесі оны арнайы орынға апарып , етімен қоса өртеп жіберген .",audio2/46.wav
Бұрынғы тәсілдерде оны біз өңдеп бірінші өңдеп содан кейін ( ыы ) біз себетінбіз .,audio2/47.wav
Ең бірінші кезекте осы қараша халықтың табысын арттыру керектігін айтты .,audio2/48.wav
"Негізінен , бірінші шығармын деп ойлаймын .",audio2/49.wav
Отандық зауыт әзірге ферросилиций өндіруден әлем бойынша алтыншы орында .,audio2/50.wav
Партияның мерейтойлық он сегізінші съезінің күн тәртібіндегі кейбір мәселелер бүгін ұйымның панельдік сессияларында сөз болды .,audio2/51.wav
Он алтыншы рет өткізілетін форумның нәтижелі боларына сенімдіміз .,audio2/52.wav
Және осындай пандемиямен бірінші рет кездесіп отыр .,audio2/53.wav
Соның ішінде әлемге әйгілі голланд қызғалдағының арғы тегі саналатын шренк гүлінің атамекені — нақ осы жер .,audio2/54.wav
"Өкінішке қарай , ресейлік тарап тиісті жұмыстарды жүргізген жоқ .",audio2/55.wav
"Әр қазақстандықтың , оның ішінде көпбалалы және материалдық жағдайы төмен отбасылардың әл-ауқаты дұрысталуы тиіс .",audio2/56.wav
"Мәселен , қытайлық компания қазақстандық брендті жасап шығуға мүдделі .",audio2/57.wav
"Өйткені партияның ішінде демократиялық үрдістер , ( ыы ) партия лидерлерін дамыту , өсіру мәселесі бар .",audio2/58.wav
Соның ( і ) барлығын енді біз қазір осы швейцариялық әріптестерімізбен ( іі ) келісссөз жүргізіп жатырмыз .,audio2/59.wav
Оларға берілген қаражат жүз елу мың теңгеден асып жығылады .,audio2/60.wav
Оны дамыту үшін тоғыз жүз миллион теңге қарастырылып отыр .,audio2/61.wav
Негізсіз жұмсалған қаражат үш миллион теңгеден асады .,audio2/62.wav
Тәжірибелі кәсіпкердің шағын несиелік ұйым алдындағы қарызы екі жүз мың теңгеге жуықтаған .,audio2/63.wav
"Айтуларынша , қаладағылар он бес – он сегіз теңге төлесе .",audio2/64.wav
Төрт жүз мың теңге қарыз .,audio2/65.wav
Дағдарысқа қарсы шараларға бөлінген бес бүтін оннан тоғыз триллион теңге .,audio2/66.wav
Әр киловаты он жеті теңгеден басталады .,audio2/67.wav
Оны жүзеге асыру үшін республикалық бюджеттен тоқсан миллиард теңге бөлінді .,audio2/68.wav
"Сөйтеді де , мысалы , екі жүз мың теңге тұратын малды жетпіс мың – сексен мың теңгеден алады .",audio2/69.wav
Мемлекеттік бюджеттен бір тиын да бұған ( тара ) тартылмайтын болады .,audio2/70.wav
Бірақ экономистер жиынның тікелей табысының өзі үш бүтін оннан үш миллиард теңге болады деген болжам жасады .,audio2/71.wav
Қазіргі инвестицияның жалпы көлемі бес жүз сексен бір миллион долларды құрап отыр .,audio2/72.wav
Сұлы жармасы үш жүз жиырма төрт теңгеден үш жүз қырық тоғыз теңгеге қымбаттапты .,audio2/73.wav
"Мәселен , бағбан баудағы сәбізін алпыс жеті теңгеге сатса .",audio2/74.wav
Бұл сауда нүктелері нанның бағасын сексен бес теңгеден асырмауға келісті .,audio2/75.wav
Қолдау тетігі ретінде екі бүтін оннан бір миллиард теңге бөлінбек .,audio2/76.wav
« Жүз үш » немесе « он төрт нөл алты » телефон нөмірлеріне хабарласуға болады .,audio2/77.wav
"Анау араб тілінен болса да , парсы тілінен болса да , мынау ( ыы ) түркі тілдес болса да , бәріне түсінікті .",audio2/78.wav
"Келіссөз біткеннен кейін , қазақ тілінен кейін .",audio2/79.wav
« Қалмырза » деген жаңа жеке кәсіпкердің автобусы .,audio2/80.wav
Қырық екі адамнан тұратын алты арнайы бригада жасақталды .,audio2/81.wav
Қазақстанда ( і ) таза тікелей инвестициялар көлемі он алтыншы жылы сегіз жарым ( прод і ) миллиард доллармен салыстырғанда .,audio2/82.wav
Зайсанға Қытай азаматтары келіп жатыр .,audio2/83.wav
Ол бағдарламада дәрігерлердің еңбекақысын көтеру де нақты қарастырылған .,audio2/84.wav
Ойлады кейбіреуісі « кафе-ресторандар ашылған шығар » .,audio2/85.wav
Бұл қаражат әлеуметтік жағынан осал он отбасына атаулы әлеуметтік көмек төлеуге арналған еді .,audio2/86.wav
Ол жайдан-жай тек той ретінде өткізілетін нәрсе емес .,audio2/87.wav
Яғни осынша ақша жолды күтіп-ұстау үшін бюджеттен бөлінбейді .,audio2/88.wav
Біз Үндістаннан келдік .,audio2/89.wav
"Ресейлік бақылау органдары жақында ет , шұжық өндіретін отандық компания жөнелткен жылқы етінен басқа жануардың нуклеин қышқылын тапқанын хабарлады .",audio2/90.wav
Дүкен ( сө ) сөрелері ( бо ) босап қалып жатыр деген әңгіме жоқ .,audio2/91.wav
Қарқын жаман емес .,audio2/92.wav
Сондай-ақ әкім биыл Наурызбай және Алатау ауданының мектеп жасындағы оқушыларына арналған Оқушылар үйі салынатынын айтты .,audio2/93.wav
Мамандар цифрлық форматта жұмыс жасау үшін тек заманауи техникаларды пайдаланады .,audio2/94.wav
"Ештеңе етпейді , тез-ақ жазылып кетеді .",audio2/95.wav
"Бүгін , яғни жиырмасыншы ақпан күні екі мың жиырмасыншы жылы , ( іі ) Қытай Халық Республикасынан кеден бекеті арқылы бір ғана жүргізуші өтті .",audio2/96.wav
"Бағдарлама іске қосылғалы бері жиырма жеті мыңнан астам зерттеу жүргізіліп , жүз жетпіс тоғыз науқастың ауруы бастапқы кезеңде анықталған .",audio2/97.wav
Жергілікті биліктің жауапсыздығынан тұрмыстық мәселелер наразылық шараларына ұласып кетіп жатыр .,audio2/98.wav
Енді бұл жұмыс әрі қарай жалғасын табады .,audio2/99.wav
